t2,cos_sim,t1
m15k_t17,0.086324919698349142,m10k_t9
m15k_t18,0.35199616525967681,m10k_t9
m15k_t19,0.093711842777254584,m10k_t9
m15k_t20,0.14117973790848368,m10k_t9
m15k_t21,0.050794094019743746,m10k_t9
m15k_t22,0.076712355881203093,m10k_t9
m15k_t23,0.17145983927173736,m10k_t9
m15k_t24,0.50335527153791015,m10k_t9
m15k_t25,0.42806472082719843,m10k_t9
m10k_t1,0.19206611028897139,m10k_t10
m10k_t2,0.14955463395407476,m10k_t10
m10k_t3,0.092420458519346715,m10k_t10
m10k_t4,0.040732929225692882,m10k_t10
m10k_t5,0.092980485333788998,m10k_t10
m10k_t6,0.058618805162609783,m10k_t10
m10k_t7,0.024524212280413328,m10k_t10
m10k_t8,0.13488861620983589,m10k_t10
m10k_t9,0.20867224466116796,m10k_t10
m10k_t10,1.0,m10k_t10
m15k_t11,0.30675888717756095,m10k_t10
m15k_t12,0.16310642909174874,m10k_t10
m15k_t13,0.044958281149407045,m10k_t10
m15k_t14,0.55430988640877144,m10k_t10
m15k_t15,0.031657773544348525,m10k_t10
m15k_t16,0.091670862088402472,m10k_t10
m15k_t17,0.13088775724275167,m10k_t10
m15k_t18,0.04227960639643942,m10k_t10
m15k_t19,0.11357862412110335,m10k_t10
m15k_t20,0.15836607419828214,m10k_t10
m15k_t21,0.27465753850938046,m10k_t10
m15k_t22,0.10920860782669106,m10k_t10
m15k_t23,0.18917307400206701,m10k_t10
m15k_t24,0.03010472092105097,m10k_t10
m15k_t25,0.14362873709741447,m10k_t10
m10k_t1,0.35852961955380647,m15k_t11
m10k_t2,0.32238096422078549,m15k_t11
m10k_t3,0.23271192072363156,m15k_t11
m10k_t4,0.02574359656529307,m15k_t11
m10k_t5,0.30362084128807859,m15k_t11
m10k_t6,0.027171156353100377,m15k_t11
m10k_t7,0.2339552246763949,m15k_t11
m10k_t8,0.10346017286497712,m15k_t11
m10k_t9,0.20847562958406801,m15k_t11
m10k_t10,0.30675888717756095,m15k_t11
m15k_t11,0.99999999999999978,m15k_t11
m15k_t12,0.036501052191196939,m15k_t11
m15k_t13,0.18747505094030126,m15k_t11
m15k_t14,0.072471186514442537,m15k_t11
m15k_t15,0.056142941701355711,m15k_t11
m15k_t16,0.028490651128384226,m15k_t11
m15k_t17,0.18126638967232039,m15k_t11
m15k_t18,0.24390242095522033,m15k_t11
m15k_t19,0.17456412511844144,m15k_t11
m15k_t20,0.096716417224759599,m15k_t11
m15k_t21,0.090146865898845199,m15k_t11
m15k_t22,0.036650948175492346,m15k_t11
m15k_t23,0.11652553982062561,m15k_t11
m15k_t24,0.057516309546457645,m15k_t11
m15k_t25,0.098685993406454481,m15k_t11
m10k_t1,0.19178073634238441,m15k_t12
m10k_t2,0.12384432627386395,m15k_t12
m10k_t3,0.15560063308542391,m15k_t12
m10k_t4,0.0066781116080070965,m15k_t12
m10k_t5,0.004266905561238505,m15k_t12
m10k_t6,0.38167462688971571,m15k_t12
m10k_t7,0.097390076713955692,m15k_t12
m10k_t8,0.031568319217910805,m15k_t12
m10k_t9,0.22346408560475617,m15k_t12
m10k_t10,0.16310642909174874,m15k_t12
m15k_t11,0.036501052191196939,m15k_t12
m15k_t12,0.99999999999999956,m15k_t12
m15k_t13,0.085089910131672553,m15k_t12
m15k_t14,0.15363127283447567,m15k_t12
m15k_t15,0.068042122284837941,m15k_t12
m15k_t16,0.01804847469384881,m15k_t12
m15k_t17,0.0083690460884282697,m15k_t12
m15k_t18,0.043419551792295008,m15k_t12
m15k_t19,0.017445537870764857,m15k_t12
m15k_t20,0.21143816778188146,m15k_t12
m15k_t21,0.069360133703483401,m15k_t12
m15k_t22,0.045802603728152889,m15k_t12
m15k_t23,0.036207764164702463,m15k_t12
m15k_t24,0.047791404691003646,m15k_t12
m15k_t25,0.10837024408407912,m15k_t12
m10k_t1,0.1654488028757895,m15k_t13
m10k_t2,0.18068432326950903,m15k_t13
m10k_t3,0.61153481620303141,m15k_t13
m10k_t4,0.008014888102375696,m15k_t13
m10k_t5,0.062685722601332261,m15k_t13
m10k_t6,0.12654602200499898,m15k_t13
m10k_t7,0.18305360831349682,m15k_t13
m10k_t8,0.02067475656889553,m15k_t13
m10k_t9,0.15272580385917722,m15k_t13
m10k_t10,0.044958281149407045,m15k_t13
m15k_t11,0.18747505094030126,m15k_t13
m15k_t12,0.085089910131672553,m15k_t13
m15k_t13,1.0,m15k_t13
m15k_t14,0.098606612145063763,m15k_t13
m15k_t15,0.042610420270258242,m15k_t13
m15k_t16,0.14869795705432157,m15k_t13
m15k_t17,0.16989831885520096,m15k_t13
m15k_t18,0.072813909299314014,m15k_t13
m15k_t19,0.083464539001657928,m15k_t13
m15k_t20,0.014594704291313812,m15k_t13
m15k_t21,0.059277719763631498,m15k_t13
m15k_t22,0.018720829392866373,m15k_t13
m15k_t23,0.030067984822987018,m15k_t13
m15k_t24,0.014023016681215082,m15k_t13
m15k_t25,0.16931915588401333,m15k_t13
m10k_t1,0.041014711429806956,m15k_t14
m10k_t2,0.39650265562798348,m15k_t14
m10k_t3,0.42659782799486617,m15k_t14
m10k_t4,0.013818853587230926,m15k_t14
m10k_t5,0.05422626386443756,m15k_t14
m10k_t6,0.10196297170014368,m15k_t14
m10k_t7,0.0032331699115387739,m15k_t14
m10k_t8,0.058015915332555172,m15k_t14
m10k_t9,0.18244601973096924,m15k_t14
m10k_t10,0.55430988640877144,m15k_t14
m15k_t11,0.072471186514442537,m15k_t14
m15k_t12,0.15363127283447567,m15k_t14
m15k_t13,0.098606612145063763,m15k_t14
m15k_t14,1.0,m15k_t14
m15k_t15,0.079695489065214051,m15k_t14
m15k_t16,0.096881122802709413,m15k_t14
m15k_t17,0.081269340797365849,m15k_t14
m15k_t18,0.027808437990451313,m15k_t14
m15k_t19,0.083441925866164973,m15k_t14
m15k_t20,0.26939708711166244,m15k_t14
m15k_t21,0.077840135351629147,m15k_t14
m15k_t22,0.056808225324092958,m15k_t14
m15k_t23,0.066423383200696517,m15k_t14
m15k_t24,0.011919422223852994,m15k_t14
m15k_t25,0.16908233704365433,m15k_t14
m10k_t1,0.53758558748631646,m15k_t15
m10k_t2,0.079912540455869888,m15k_t15
m10k_t3,0.099422472193110595,m15k_t15
m10k_t4,0.069610364815076001,m15k_t15
m10k_t5,0.071064928433497598,m15k_t15
m10k_t6,0.135167855079419,m15k_t15
m10k_t7,0.065084909046970701,m15k_t15
m10k_t8,0.035047080735953445,m15k_t15
m10k_t9,0.13513538464051153,m15k_t15
m10k_t10,0.031657773544348525,m15k_t15
m15k_t11,0.056142941701355711,m15k_t15
m15k_t12,0.068042122284837941,m15k_t15
m15k_t13,0.042610420270258242,m15k_t15
m15k_t14,0.079695489065214051,m15k_t15
m15k_t15,0.99999999999999978,m15k_t15
m15k_t16,0.065037015906058565,m15k_t15
m15k_t17,0.013536306815676798,m15k_t15
m15k_t18,0.0044008318472793777,m15k_t15
m15k_t19,0.050723063889807074,m15k_t15
