"full_state","district","total_pop","agr_pop","agr_pop_perc","state","st_dist","last_name","thomas_id","id","k55","k60","k65","k70","k85","agr_speeches","agr_per_dummy"
"Ohio","16",724483,3307,0.00456463436685195,"OH","OH-16","Renacci","2048","R000586",0,0,0,0,0,0,"low"
"Oklahoma","1",781067,10611,0.0135852622118205,"OK","OK-1","Bridenstine","2155","B001283",0,0,0,0,0,0,"low"
"Oklahoma","2",749768,15059,0.0200848795894197,"OK","OK-2","Mullin","2156","M001190",0.1,0,0,0,0,0.025,"low"
"Oklahoma","3",776896,36645,0.0471684755745943,"OK","OK-3","Lucas","711","L000491",0,0,0,0,0,0,"low"
"Oklahoma","4",773994,19775,0.0255492936637752,"OK","OK-4","Cole","1742","C001053",0,0,0,0.25,0,0.062,"low"
"Oklahoma","5",796326,14425,0.01811444056831,"OK","OK-5","Lankford","2050","L000575",0,0,0,0,0,0,"low"
"Oregon","1",805943,7991,0.00991509325101155,"OR","OR-1","Bonamici","2092","B001278",0,0,0,0,0,0,"low"
"Oregon","2",784114,21763,0.0277548927834473,"OR","OR-2","Walden","1596","W000791",0.142857142857143,0,0,0,0,0.036,"low"
"Oregon","3",806382,3694,0.00458095542807255,"OR","OR-3","Blumenauer","99","B000574",0,0,0,0,0,0,"low"
"Oregon","4",775615,11850,0.0152781985907957,"OR","OR-4","DeFazio","279","D000191",0,0,0,0,0,0,"low"
"Oregon","5",798185,14889,0.01865357028759,"OR","OR-5","Schrader","1950","S001180",0,0,0,0,0,0,"low"
"Pennsylvania","1",716072,857,0.0011968070249919,"PA","PA-1","Brady","1469","B001227",0.0714285714285714,0,0,0,0,0.018,"low"
"Pennsylvania","2",716892,901,0.00125681413657845,"PA","PA-2","Fattah","371","F000043",NA,NA,NA,NA,NA,NA,"low"
"Pennsylvania","3",702323,6016,0.00856585929835702,"PA","PA-3","Kelly","2051","K000376",0,0.117647058823529,0,0,0,0.029,"low"
"Pennsylvania","4",719504,3499,0.00486307233872223,"PA","PA-4","Perry","2157","P000605",0,0,0,0,0,0,"low"
